node_id,row_px,col_px
24,81,1546
7,83,734
8,82,786
4,83,598
23,83,1494
28,83,1739
31,83,1876
36,83,2121
40,83,2312
3,84,543
11,85,922
12,84,983
19,84,1305
32,84,1928
35,84,2066
39,84,2255
0,85,409
16,85,1168
15,86,1111
20,87,1358
43,87,2437
44,88,2503
26,107,1634
1,150,438
2,149,503
6,150,692
5,153,636
9,153,827
10,155,880
22,155,1459
30,156,1836
41,157,2354
45,157,2532
13,158,1018
14,157,1066
17,158,1209
18,158,1255
21,158,1399
25,158,1593
33,158,1970
34,158,2017
37,158,2158
42,158,2397
29,160,1783
38,159,2202
27,161,1659
